"return_id","order_id","order_item_id","return_date","quantity","reason","refund_amount"
214,8496,9682,"2024-06-26",1,Damaged during shipping,99.99
215,5447,2975,"2024-10-25",1,Defective,24.99
216,7479,7447,"2025-01-15",1,Late delivery,899.99
217,6464,5211,"2025-12-20",1,Not as expected,19.99
218,4431,740,"2024-02-14",1,Compatibility issue,649.99
219,7479,7448,"2025-01-22",1,Defective,249.99
220,8497,9683,"2024-02-24",1,Wrong item,199.99
221,5448,2976,"2024-06-24",1,Damaged during shipping,119.99
222,6464,5212,"2025-11-27",1,Changed mind,49.99
223,8497,9684,"2024-03-02",1,Not as expected,39.99
224,4432,741,"2026-06-30",1,Late delivery,899.99
225,5448,2977,"2024-07-01",1,Wrong item,229.99
226,7480,7449,"2024-08-22",1,Damaged during shipping,549.99
227,6465,5213,"2025-07-27",1,Compatibility issue,69.99
228,8497,9685,"2024-03-09",1,Changed mind,79.99
229,4432,742,"2026-06-07",1,Defective,1299.99
230,5448,2978,"2024-07-08",1,Not as expected,39.99
231,6465,5214,"2025-08-03",1,Late delivery,19.99
232,7481,7450,"2026-02-13",1,Wrong item,499.99
233,8498,9686,"2026-06-24",1,Compatibility issue,69.99
234,4433,743,"2026-02-04",1,Damaged during shipping,899.99
235,5449,2979,"2024-02-06",1,Changed mind,299.99
236,7482,7451,"2025-10-13",1,Not as expected,299.99
237,8498,9687,"2026-07-01",1,Late delivery,29.99
238,4433,744,"2026-02-11",1,Wrong item,1299.99
239,5449,2980,"2024-02-13",1,Compatibility issue,79.99
240,7482,7452,"2025-10-20",1,Changed mind,129.99
241,8498,9688,"2026-07-08",1,Defective,199.99
242,5449,2981,"2024-02-20",1,Late delivery,119.99
243,4434,745,"2025-10-11",1,Not as expected,899.99
244,5449,2982,"2024-02-27",1,Defective,229.99
245,8499,9689,"2026-03-07",1,Damaged during shipping,79.99
246,4434,746,"2025-09-18",1,Changed mind,1299.99
247,8499,9690,"2026-02-12",1,Wrong item,99.99
248,5450,2983,"2026-06-13",1,Damaged during shipping,249.99
249,4435,747,"2025-05-18",1,Compatibility issue,899.99
250,8499,9691,"2026-02-19",1,Not as expected,69.99
251,7484,7455,"2025-01-24",1,Defective,179.99
252,4435,748,"2025-05-25",1,Late delivery,1299.99
253,5451,2984,"2025-03-20",1,Wrong item,899.99
254,8499,9692,"2026-02-26",1,Changed mind,29.99
255,7484,7456,"2025-01-31",1,Damaged during shipping,329.99
256,4436,749,"2024-03-01",1,Defective,899.99
257,8500,9693,"2025-10-26",1,Compatibility issue,24.99
258,7485,7457,"2024-09-30",1,Wrong item,649.99
259,4436,750,"2024-02-07",1,Damaged during shipping,1299.99
260,7485,7458,"2024-09-07",1,Not as expected,2199.99
261,4437,751,"2026-06-23",1,Wrong item,19.99
262,5453,2987,"2024-07-24",1,Compatibility issue,549.99
263,7486,7459,"2026-03-01",1,Changed mind,1299.99
264,8502,9695,"2024-03-02",1,Defective,119.99
265,4437,752,"2026-06-30",1,Not as expected,49.99
266,5453,2988,"2024-07-01",1,Late delivery,349.99
267,7486,7460,"2026-03-08",1,Compatibility issue,649.99
268,8502,9696,"2024-03-09",1,Damaged during shipping,39.99
269,4437,753,"2026-07-07",1,Changed mind,899.99
270,5454,2989,"2024-02-29",1,Defective,499.99
271,7487,7461,"2025-11-05",1,Late delivery,899.99
272,8503,9697,"2026-07-24",1,Wrong item,299.99
273,4438,754,"2026-03-06",1,Compatibility issue,69.99
274,5454,2990,"2024-03-07",1,Damaged during shipping,999.99
275,7487,7462,"2025-10-13",1,Defective,1299.99
276,8503,9698,"2026-07-31",1,Not as expected,79.99
277,4438,755,"2026-02-11",1,Late delivery,19.99
278,5455,2991,"2026-07-22",1,Wrong item,299.99
279,7487,7463,"2025-10-20",1,Damaged during shipping,649.99
280,4438,756,"2026-02-18",1,Defective,59.99
281,5455,2992,"2026-06-29",1,Not as expected,129.99
282,6471,5228,"2024-05-24",1,Late delivery,69.99
283,7488,7464,"2025-06-19",1,Wrong item,899.99
284,4439,757,"2025-10-18",1,Damaged during shipping,199.99
285,5456,2993,"2025-04-05",1,Changed mind,599.99
286,6472,5229,"2026-09-08",1,Defective,79.99
287,7488,7465,"2025-06-26",1,Not as expected,1299.99
288,4439,758,"2025-10-25",1,Wrong item,49.99
289,8505,9701,"2025-11-04",1,Late delivery,899.99
290,5456,2994,"2025-04-12",1,Compatibility issue,699.99
291,6472,5230,"2026-09-15",1,Damaged during shipping,99.99
292,7488,7466,"2025-06-03",1,Changed mind,649.99
293,4439,759,"2025-10-02",1,Not as expected,69.99
294,8505,9702,"2025-11-11",1,Defective,249.99
295,4439,760,"2025-10-09",2,Changed mind,39.98
296,5457,2995,"2024-12-10",1,Late delivery,179.99
297,6473,5231,"2026-05-15",1,Wrong item,24.99
298,7489,7467,"2025-01-31",1,Compatibility issue,899.99
299,8506,9703,"2024-07-19",1,Damaged during shipping,699.99
300,5457,2996,"2024-11-17",1,Defective,329.99
301,6473,5232,"2026-05-22",1,Not as expected,149.99
302,7489,7468,"2025-02-07",1,Late delivery,1299.99
303,4440,761,"2025-06-08",1,Compatibility issue,179.99
304,8506,9704,"2024-07-26",1,Wrong item,449.99
305,5457,2997,"2024-11-24",1,Damaged during shipping,599.99
306,7489,7469,"2025-02-14",1,Defective,649.99
307,6474,5233,"2025-12-20",1,Changed mind,99.99
308,7489,7470,"2025-01-22",1,Damaged during shipping,1799.99
309,8507,9705,"2024-03-25",1,Not as expected,549.99
310,5458,2998,"2024-07-24",1,Wrong item,649.99
311,6474,5234,"2025-12-27",1,Compatibility issue,89.99
312,8507,9706,"2024-04-01",1,Changed mind,349.99
313,5458,2999,"2024-07-31",1,Not as expected,2199.99
314,7490,7471,"2024-09-21",1,Wrong item,899.99
315,6475,5235,"2025-08-26",1,Late delivery,119.99
316,8507,9707,"2024-04-08",1,Compatibility issue,699.99
317,5458,3000,"2024-07-08",1,Changed mind,179.99
318,6475,5236,"2025-09-02",1,Defective,229.99
319,8508,9708,"2026-07-24",1,Late delivery,499.99
320,5459,3001,"2024-03-07",1,Compatibility issue,899.99
321,6476,5237,"2024-06-09",1,Damaged during shipping,299.99
322,8508,9709,"2026-07-31",1,Defective,999.99
323,5459,3002,"2024-03-14",1,Late delivery,1299.99
324,6476,5238,"2024-05-17",1,Wrong item,79.99
325,8508,9710,"2026-08-07",1,Damaged during shipping,1299.99
326,5459,3003,"2024-03-21",1,Defective,649.99
327,5459,3004,"2024-03-28",1,Damaged during shipping,1799.99
328,6477,5239,"2024-01-15",1,Not as expected,249.99
329,8509,9711,"2026-04-06",1,Wrong item,299.99
330,6477,5240,"2024-01-22",1,Changed mind,149.99
331,8509,9712,"2026-03-14",1,Not as expected,129.99
332,5460,3005,"2026-07-13",1,Wrong item,899.99
333,6477,5241,"2024-01-29",1,Compatibility issue,299.99
334,8509,9713,"2026-03-21",1,Changed mind,499.99
335,8509,9714,"2026-03-28",1,Compatibility issue,999.99
336,6478,5242,"2026-05-15",1,Late delivery,899.99
337,4446,771,"2026-03-31",1,Damaged during shipping,24.99
338,5462,3007,"2024-12-17",1,Changed mind,899.99
339,6478,5243,"2026-05-22",1,Defective,249.99
340,8510,9715,"2025-11-25",1,Late delivery,599.99
341,4446,772,"2026-03-08",1,Wrong item,149.99
342,5462,3008,"2024-12-24",1,Compatibility issue,1299.99
343,6478,5244,"2026-05-29",1,Damaged during shipping,249.99
344,8511,9716,"2024-08-02",1,Defective,179.99
345,4447,773,"2025-11-05",1,Not as expected,99.99
346,5463,3009,"2024-07-24",1,Late delivery,899.99
347,6479,5245,"2026-01-26",1,Wrong item,699.99
348,7496,7481,"2025-07-14",1,Compatibility issue,179.99
349,8512,9717,"2024-04-01",1,Damaged during shipping,649.99
350,4447,774,"2025-11-12",1,Changed mind,89.99
351,5463,3010,"2024-07-31",1,Defective,1299.99
352,6479,5246,"2026-01-03",1,Not as expected,449.99
353,7496,7482,"2025-07-21",1,Late delivery,99.99
354,8512,9718,"2024-04-08",1,Wrong item,2199.99
355,4447,775,"2025-11-19",1,Compatibility issue,24.99
356,6479,5247,"2026-01-10",1,Changed mind,899.99
357,6479,5248,"2026-01-17",1,Compatibility issue,249.99
358,7497,7483,"2025-02-18",1,Defective,199.99
359,8513,9719,"2026-08-23",1,Not as expected,1299.99
360,4448,776,"2025-06-19",1,Late delivery,119.99
361,7497,7484,"2025-02-25",1,Damaged during shipping,39.99
362,8513,9720,"2026-07-31",1,Changed mind,649.99
363,4448,777,"2025-06-26",1,Defective,229.99
364,6480,5249,"2025-09-16",1,Late delivery,549.99
365,5465,3013,"2026-07-22",1,Not as expected,69.99
366,7497,7485,"2025-03-04",1,Wrong item,79.99
367,4448,778,"2025-07-03",1,Damaged during shipping,39.99
368,8514,9721,"2026-03-30",1,Compatibility issue,899.99
369,5465,3014,"2026-07-29",1,Changed mind,19.99
370,7498,7486,"2024-11-01",1,Not as expected,69.99
371,8514,9722,"2026-04-06",1,Late delivery,1299.99
372,4449,779,"2025-03-02",1,Wrong item,299.99
373,6482,5251,"2024-01-22",1,Damaged during shipping,299.99
374,7498,7487,"2024-11-08",1,Changed mind,29.99
375,4449,780,"2025-02-07",1,Not as expected,79.99
376,8515,9723,"2025-12-04",1,Defective,899.99
377,6482,5252,"2024-01-29",1,Wrong item,129.99
378,7498,7488,"2024-10-16",1,Compatibility issue,199.99
379,4449,781,"2025-02-14",1,Changed mind,119.99
380,8515,9724,"2025-12-11",1,Damaged during shipping,1299.99
381,4449,782,"2025-02-21",1,Compatibility issue,229.99
382,6483,5253,"2026-06-14",1,Not as expected,599.99
383,7499,7489,"2024-06-15",1,Late delivery,79.99
384,6483,5254,"2026-06-21",1,Changed mind,699.99
385,7499,7490,"2024-06-22",1,Defective,99.99
386,4450,783,"2024-10-21",1,Late delivery,249.99
387,7499,7491,"2024-06-29",1,Damaged during shipping,69.99
388,4451,784,"2026-04-14",1,Defective,899.99
389,7499,7492,"2024-06-06",1,Wrong item,29.99
390,4452,785,"2025-11-12",1,Damaged during shipping,699.99
391,7500,7493,"2024-02-04",1,Not as expected,24.99
392,6485,5257,"2025-09-25",1,Defective,649.99
393,4452,786,"2025-11-19",1,Wrong item,449.99
394,6485,5258,"2025-10-02",1,Damaged during shipping,2199.99
395,7501,7494,"2025-07-28",1,Changed mind,99.99
396,4453,787,"2025-07-19",1,Not as expected,549.99
397,6486,5259,"2024-06-09",1,Wrong item,1299.99
398,4453,788,"2025-07-26",1,Changed mind,349.99
399,6486,5260,"2024-06-16",1,Not as expected,649.99
400,4454,789,"2025-02-23",1,Compatibility issue,499.99
401,6487,5261,"2024-02-14",1,Changed mind,899.99
402,7503,7497,"2024-11-01",1,Defective,299.99
403,4454,790,"2025-03-02",1,Late delivery,999.99
404,6487,5262,"2024-02-21",1,Compatibility issue,1299.99
405,7503,7498,"2024-11-08",1,Damaged during shipping,79.99
406,4455,791,"2024-10-30",1,Defective,299.99
407,6487,5263,"2024-01-29",1,Late delivery,649.99
408,7504,7499,"2024-07-08",1,Wrong item,249.99
409,4455,792,"2024-11-06",1,Damaged during shipping,129.99
410,5471,3028,"2025-05-19",1,Changed mind,69.99
411,6488,5264,"2026-06-14",1,Defective,899.99
412,7504,7500,"2024-06-15",1,Not as expected,149.99
413,4456,793,"2026-03-31",1,Wrong item,599.99
414,5472,3029,"2025-01-16",1,Compatibility issue,79.99
415,6488,5265,"2026-06-21",1,Damaged during shipping,1299.99
416,4456,794,"2026-04-07",1,Not as expected,699.99
417,5472,3030,"2024-12-24",1,Late delivery,99.99
418,6488,5266,"2026-06-28",1,Wrong item,649.99
419,8521,9738,"2024-09-01",1,Damaged during shipping,179.99
420,4457,795,"2025-12-05",1,Changed mind,179.99
421,5473,3031,"2024-08-23",1,Defective,24.99
422,6489,5267,"2026-02-25",1,Not as expected,899.99
423,7506,7503,"2025-08-13",1,Late delivery,699.99
424,4457,796,"2025-12-12",1,Compatibility issue,329.99
425,5473,3032,"2024-08-30",1,Damaged during shipping,149.99
426,6489,5268,"2026-02-02",1,Changed mind,1299.99
427,7506,7504,"2025-08-20",1,Defective,449.99
428,4457,797,"2025-12-19",1,Late delivery,599.99
429,6489,5269,"2026-02-09",1,Compatibility issue,649.99
430,5474,3033,"2024-04-29",1,Wrong item,99.99
431,6489,5270,"2026-02-16",1,Late delivery,1799.99
432,7507,7505,"2025-03-20",1,Damaged during shipping,549.99
433,8523,9741,"2026-09-17",1,Changed mind,179.99
434,4458,798,"2025-07-19",1,Defective,649.99
435,5474,3034,"2024-05-06",1,Not as expected,89.99
436,7507,7506,"2025-03-27",1,Wrong item,349.99
437,8523,9742,"2026-08-30",1,Compatibility issue,99.99
438,4458,799,"2025-07-26",1,Damaged during shipping,2199.99
439,6490,5271,"2025-10-16",1,Defective,899.99
440,5475,3035,"2026-08-21",1,Changed mind,119.99
441,7507,7507,"2025-04-03",1,Not as expected,699.99
442,4458,800,"2025-08-02",1,Wrong item,179.99
443,8524,9743,"2026-04-29",1,Late delivery,199.99
444,5475,3036,"2026-08-28",1,Compatibility issue,229.99
445,7508,7508,"2024-12-01",1,Changed mind,499.99
446,8524,9744,"2026-05-06",1,Defective,39.99
447,4459,801,"2025-04-01",1,Not as expected,899.99
448,5476,3037,"2025-06-04",1,Late delivery,299.99
449,7508,7509,"2024-11-08",1,Compatibility issue,999.99
450,4459,802,"2025-03-09",1,Changed mind,1299.99
451,5476,3038,"2025-06-11",1,Defective,79.99
452,7508,7510,"2024-11-15",1,Late delivery,1299.99
453,4459,803,"2025-03-16",1,Compatibility issue,649.99
454,4459,804,"2025-03-23",1,Late delivery,1799.99
455,5477,3039,"2025-01-09",1,Damaged during shipping,249.99
456,7509,7511,"2024-07-15",1,Defective,299.99
457,8526,9747,"2024-09-17",1,Not as expected,79.99
458,5477,3040,"2025-01-16",1,Wrong item,149.99
459,7509,7512,"2024-07-22",1,Damaged during shipping,129.99
460,4460,805,"2024-11-20",1,Defective,899.99
461,8526,9748,"2024-09-24",1,Changed mind,99.99
462,5477,3041,"2025-01-23",1,Not as expected,299.99
463,7509,7513,"2024-06-29",1,Wrong item,499.99
464,4461,806,"2026-04-14",1,Damaged during shipping,899.99
465,7509,7514,"2024-07-06",1,Not as expected,999.99
466,8527,9749,"2024-05-24",1,Compatibility issue,24.99
467,5478,3042,"2024-09-22",1,Changed mind,899.99
468,8527,9750,"2024-05-01",2,Late delivery,299.98
469,5478,3043,"2024-08-30",1,Compatibility issue,249.99
470,7510,7515,"2024-03-05",1,Changed mind,599.99
471,8527,9751,"2024-05-08",1,Defective,79.99
472,5478,3044,"2024-09-06",1,Late delivery,249.99
473,7511,7516,"2025-08-27",1,Compatibility issue,179.99
474,8528,9752,"2026-09-17",1,Damaged during shipping,99.99
475,4463,809,"2025-08-18",1,Changed mind,899.99
476,5479,3045,"2024-05-06",1,Defective,699.99
477,6496,5281,"2026-07-09",1,Not as expected,179.99
478,7512,7517,"2025-04-26",1,Late delivery,649.99
479,8528,9753,"2026-09-17",1,Wrong item,89.99
480,4463,810,"2025-07-26",1,Compatibility issue,1299.99
481,5479,3046,"2024-05-13",1,Damaged during shipping,449.99
482,6496,5282,"2026-07-16",1,Changed mind,99.99
483,7512,7518,"2025-04-03",1,Defective,2199.99
484,8528,9754,"2026-09-17",1,Not as expected,24.99
485,5479,3047,"2024-05-20",1,Wrong item,899.99
486,4464,811,"2025-03-25",1,Late delivery,19.99
487,5479,3048,"2024-04-27",1,Not as expected,249.99
488,6497,5283,"2026-03-15",1,Compatibility issue,199.99
489,7513,7519,"2024-12-01",1,Damaged during shipping,1299.99
490,8529,9755,"2026-05-06",1,Changed mind,119.99
491,4464,812,"2025-04-01",1,Defective,49.99
